Location,Establishment ,Address ,Website
Seaport/Waterront,Jerry Remys (seaport)," 250 Northern Ave, Boston, MA 02210",http://jerryremysseaport.com/
Seaport/Waterront,Tavern in the Square (South Station),"640 Atlantic Avenue, Boston, MA 02111",http://www.taverninthesquare.com/
Seaport/Waterront,Capiz Bar (Waterfront Marriot),"606 Congress St, Boston, MA 02210",http://www.marriott.com/hotels/hotel-information/restaurant/boswf-renaissance-boston-waterfront-hotel/
Seaport/Waterront,Waterfront Café," 450 Commercial St, Boston, MA 02113",http://www.waterfront-cafe.com/ordereze/default.aspx
Seaport/Waterront,Strega Waterfront,"1 Marina Park Dr, Boston, MA 02210",http://www.stregawaterfront.com/
Seaport/Waterront,Rowes Wharf (boston harbor hotel),"70 Rowes Wharf, Boston, MA 02110",http://www.bhh.com/
Seaport/Waterront,Aragosta Bar and Bistro,"3 Battery Wharf, Boston, MA 02109",http://www.aragostabistro.com/
Seaport/Waterront,Temazcal Tequila Cantina,"250 Northern Ave, Boston, MA 02210",http://temazcalcantina.com/
Seaport/Waterront,Salvatores,"225 Northern Ave, Boston, MA 02210",http://www.salvatoresrestaurants.com/seaport-district/
Seaport/Waterront,Birch Bar (Westin Waterfront Hotel),"425 Summer St, Boston, MA 02210",http://www.westinbostonwaterfront.com/birch-bar
Southie,Franklin Southie,"152 Dorchester Ave, Boston, MA 02127",http://www.franklincafe.com/
Southie,Local 149 ,"149 P St, Boston, MA 02127",http://local149.com/
Southie,Blackthorn Bar,"471 W Broadway, South Boston, MA 02127",http://www.blackthornboston.com/
Southie,L Street Tavern,"658 E 8th St, South Boston, MA 02127",
Southie,Shenanigans ,"332 West Broadway, South Boston MA, 02127",http://www.shenannigansirishpubbostonma.com/
Southie,Stats,"77 Dorchester St, Boston, MA 02127",http://statsboston.com/
Southie,Murphys Law,"837 Summer St, South Boston, MA 02127",http://www.murphyslawbar.com/
Southie,The Lincoln,"425 W BROADWAY, BOSTON, MA 02127",http://lincolnsouthboston.com/
Southie,Toms English Cottage,"118 Emerson St, Boston, MA 02127",
Southie,Telegraph Hill,"289 Dorchester St, Boston, MA 02127",http://www.telegraphhillboston.com/
Southie,The Shannon Tavern,"558 E 3rd St, Boston, MA 02127",
Southie,The Clock Tavern,"342 W Broadway, Boston, MA 02127",
Southie,The Cornerstone,"16 W Broadway, Boston, MA 02127",
Southie,Boston Beer Garden,"732 E Broadway, South Boston, MA 02127",http://www.bostonbeergarden.com/
Southie,Touchies Shamrock Pub,"501 E 8th St, Boston, MA 02127",
Southie,The Playwright,"658 E Broadway, Boston, MA 02127",http://www.theplaywrightbar.com/
Southie,Barlows,"241 A St, Boston, MA 02210",http://barlowsrestaurant.com/
Somerville,Backbar,"7 Sanborn Ct, Somerville, MA 02143",http://backbarunion.com/
Somerville,Sligo Pub,"237 Elm Street, Somerville, MA 02144",
Somerville,Five Horses Tavern,"400 Highland Ave, Somerville, MA 02144",http://fivehorsestavern.com/
Somerville,Saloon,"255 Elm St, Somerville, MA 02144",http://www.saloondavis.com/
Somerville,Foundry on Elm,"255 Elm St, Somerville, MA 02144",http://www.foundryonelm.com/
Somerville,Spoke Wine bar,"89 Holland St, Somerville, MA 02144",http://www.spokewinebar.com/
Somerville,Joshua Tree," 256 Elm St, Somerville, MA 02144",http://www.joshuatreesomerville.com/
Somerville,Red Bones,"55 Chester St, Somerville, MA 02144",https://www.redbones.com/
Somerville,The Burren,"247 Elm St, Somerville, MA 02144",http://www.burren.com/
Somerville,Johnny D's,"17 Holland St, Somerville, MA 02144",http://johnnyds.com/
Somerville,PJ Ryans,"239 Holland St, Somerville, MA 02144",http://www.pjryans.com/
Somerville,Casey's," 173 Broadway, Somerville, MA 02145",http://www.caseyssomerville.com/
Somerville,Bull Mcabes," 366 Somerville Ave, Somerville, MA 02143",http://bullmccabesboston.com/
Somerville,Trinas Pub,"3 Beacon St, Somerville, MA 02143",http://www.trinastarlitelounge.com/
Somerville,Daddy Jones,"525 Medford St, Somerville, MA 02145",http://daddyjonesbar.com/
Charlestown,Warren Tavern," 2 Pleasant St, Charlestown, MA 02129",http://www.warrentavern.com/
Charlestown,Tavern at the End of The World,"108 Cambridge St, Charlestown, MA 02129",http://www.tavernattheendoftheworld.com/
Charlestown,Navy Yard Bistro,"1 1st Ave, Charlestown, MA 02129",http://www.navyyardbistro.com/
Charlestown,Sullivans Pub,"85 Main St, Boston, MA 02129",
